weather.thisRepN,weather.thisTrialN,weather.thisN,weather.thisIndex,wth_repeat_prac.thisRepN,wth_repeat_prac.thisTrialN,wth_repeat_prac.thisN,wth_repeat_prac.thisIndex,image.started,key_resp.keys,key_resp.rt,text.started,wth_key_resp_3.started,wth_key_resp_3.keys,wth_key_resp_3.rt,stimulus_interval,wth_text_4.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.427050899947062,space,3.629740000003949,,,,,,,999,2022-10-07_22h06.26.958,Main,2022.2.4,144.02207581822432,
0,0,0,0,0,0,0,0,,,,21.061490299878642,22.081109100021422,space,2.0773975998163223,30,36.46015190007165,999,2022-10-07_22h06.26.958,Main,2022.2.4,144.02207581822432,
