weather.thisRepN,weather.thisTrialN,weather.thisN,weather.thisIndex,wth_repeat_prac.thisRepN,wth_repeat_prac.thisTrialN,wth_repeat_prac.thisN,wth_repeat_prac.thisIndex,image.started,key_resp.keys,key_resp.rt,stimulus_interval,image_2.started,wth_text_4.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.33848900000021,space,0.8289151999997557,,,,999,2022-10-09_01h54.28.381,Main,2022.2.4,59.93744927781086,
0,0,0,0,0,0,0,0,,,,30,31.137251000000106,51.79710550000027,999,2022-10-09_01h54.28.381,Main,2022.2.4,59.93744927781086,
,,,,,,,,,,,30,73.69525680000015,,,,,,,
