weather.thisRepN,weather.thisTrialN,weather.thisN,weather.thisIndex,wth_repeat_prac.thisRepN,wth_repeat_prac.thisTrialN,wth_repeat_prac.thisN,wth_repeat_prac.thisIndex,wth_trials.thisRepN,wth_trials.thisTrialN,wth_trials.thisN,wth_trials.thisIndex,image.started,key_resp.keys,key_resp.rt,wth_key_resp_3.started,wth_key_resp_3.keys,wth_key_resp_3.rt,stimulus_interval,image_2.started,wth_text_4.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.093475800000306,space,6.916435699999965,,,,,,,999,2022-10-09_01h39.40.223,Main,2022.2.4,60.454046159050584,
0,0,0,0,0,0,0,0,,,,,,,,26.475956600000245,space,6.420916499999748,30,42.990944500000296,55.30181040000025,999,2022-10-09_01h39.40.223,Main,2022.2.4,60.454046159050584,
