weather.thisRepN,weather.thisTrialN,weather.thisN,weather.thisIndex,wth_repeat_prac.thisRepN,wth_repeat_prac.thisTrialN,wth_repeat_prac.thisN,wth_repeat_prac.thisIndex,image.started,key_resp.keys,key_resp.rt,stimulus_interval,image_2.started,wth_text_4.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.300305799999933,space,0.8055957000001399,,,,999,2022-10-09_01h59.52.345,Main,2022.2.4,60.015616063269796,
0,0,0,0,0,0,0,0,,,,30,32.23201739999968,44.42619680000007,999,2022-10-09_01h59.52.345,Main,2022.2.4,60.015616063269796,
,,,,,,,,,,,30,57.6757705,,,,,,,
