weather.thisRepN,weather.thisTrialN,weather.thisN,weather.thisIndex,wth_repeat_prac.thisRepN,wth_repeat_prac.thisTrialN,wth_repeat_prac.thisN,wth_repeat_prac.thisIndex,image.started,key_resp.keys,key_resp.rt,text.started,wth_key_resp_3.started,wth_key_resp_3.keys,wth_key_resp_3.rt,stimulus_interval,wth_text_4.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.14659500005655,space,0.7218971999827772,,,,,,,999,2022-10-07_21h42.12.531,Main,2022.2.4,143.4563803091736,
0,0,0,0,0,0,0,0,,,,18.873076800024137,19.83208189997822,space,1.2611195999197662,5,31.025060800137,999,2022-10-07_21h42.12.531,Main,2022.2.4,143.4563803091736,
,,,,,,,,,,,,32.565096700098366,,,,,,,,,,
