weather.thisRepN,weather.thisTrialN,weather.thisN,weather.thisIndex,wth_repeat_prac.thisRepN,wth_repeat_prac.thisTrialN,wth_repeat_prac.thisN,wth_repeat_prac.thisIndex,wth_trials.thisRepN,wth_trials.thisTrialN,wth_trials.thisN,wth_trials.thisIndex,stimulus_interval,image_2.started,wth_rt,wth_text_4.started,id*,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,5,32.1678864000005,0.0,38.28387599999951,999,2022-10-09_20h20.59.659,Main,2022.2.4,59.32207914438001,
0,0,0,0,1,0,1,0,,,,,5,51.74925600000097,0.0,69.0139221999998,999,2022-10-09_20h20.59.659,Main,2022.2.4,59.32207914438001,
,,,,,,,,,,,,5,,0.0,,,,,,,
