weather.thisRepN,weather.thisTrialN,weather.thisN,weather.thisIndex,wth_repeat_prac.thisRepN,wth_repeat_prac.thisTrialN,wth_repeat_prac.thisN,wth_repeat_prac.thisIndex,wth_trials.thisRepN,wth_trials.thisTrialN,wth_trials.thisN,wth_trials.thisIndex,image.started,key_resp.keys,key_resp.rt,stimulus_interval,image_2.started,wth_text_4.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,17.45423239999991,space,3.6079890999999407,,,,999,2022-10-09_16h36.58.700,Main,2022.2.4,59.94294630369818,
0,0,0,0,0,0,0,0,,,,,,,,30,34.65283580000005,70.4604812,999,2022-10-09_16h36.58.700,Main,2022.2.4,59.94294630369818,
