weather.thisRepN,weather.thisTrialN,weather.thisN,weather.thisIndex,wth_repeat_prac.thisRepN,wth_repeat_prac.thisTrialN,wth_repeat_prac.thisN,wth_repeat_prac.thisIndex,wth_trials.thisRepN,wth_trials.thisTrialN,wth_trials.thisN,wth_trials.thisIndex,image.started,key_resp.keys,key_resp.rt,stimulus_interval,image_2.started,wth_text_4.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,22.547498200000007,space,1.553092499999991,,,,999,2022-10-09_16h14.56.183,Main,2022.2.4,60.243540536977676,
0,0,0,0,0,0,0,0,,,,,,,,30,41.24519409999999,63.321557900000016,999,2022-10-09_16h14.56.183,Main,2022.2.4,60.243540536977676,
0,0,0,0,1,0,1,0,,,,,,,,30,79.03685300000001,86.43555609999999,999,2022-10-09_16h14.56.183,Main,2022.2.4,60.243540536977676,
