weather.thisRepN,weather.thisTrialN,weather.thisN,weather.thisIndex,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,distractor,target,set,ans1,ans2,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,main_prac,para_back.started,id*,만 나이,성별,weather,boat,parachute,fish,test_mode,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,40.64365759999782,40.64365759999782,space,4.61983699999837,46.290243109998116,space,3.9975052999943728,50.34263790000114,,,,,,,999,,여자,no,yes,yes,yes,no,2022-10-10_02h05.51.929,Main,2022.2.4,59.54677756687161,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.49219399999856,52.49219399999856,54.50871370000095,54.50871370000095,prac,56.55843150000146,,,,,,,,,,,,,
